ccvm,name,cnpj,type,situation
505480,A C M AGRICOLA SA,31.694.680/0001-14,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 19/11/2008
502316,A G HOTEIS E TURISMO SA,08.690.448/0001-96,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 24/08/2007
35,A J RENNER SA IND E PARTIP,92.659.614/0001-06,CIAS ABERTAS,Cancelado em 17/06/1998
504076,A M FIDALGO SA MAT DE CONSTR,04.895.165/0001-20,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
503592,A O GASPAR INDS SA,06.932.909/0001-64,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
16802,A.P. PARTICIPAÇOES SA,02.288.752/0001-25,CIAS ABERTAS,Cancelado em 23/12/2004
13307,ABC DADOS E INFORMATICA SA,21.649.280/0001-33,CIAS ABERTAS,Cancelado em 05/03/1993
16934,ABC SUPERMERCADOS SA,02.258.274/0001-00,CIAS ABERTAS,Cancelado em 17/12/2001
13005,ABC XTAL MICROELETRONICA SA,42.275.727/0001-21,CIAS ABERTAS,Cancelado em 11/09/1997
15270,ABN AMRO ARRENDAMENTO MERCANTIL SA,34.033.779/0001-63,CIAS ABERTAS,Cancelado em 30/09/2009
14370,ABRIL SA,44.597.052/0001-62,CIAS ABERTAS,Cancelado em 21/12/1999
20206,ABYARA PLANEJAMENTO IMOBILIÁRIO S/A,07.794.351/0001-60,CIAS ABERTAS,Cancelado em 28/05/2010
501832,ACACIA EMPREEND HOTELEIROS SA,10.416.907/0001-90,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
503908,ACARY HOTELARIA S/A,09.557.372/0001-98,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
22446,ACCIONA CONCESSÕES-RODOVIA DO AÇO SA,09.414.761/0001-64,CIAS ABERTAS,Concedido em 29/03/2011
513911,ACOFORTE MOVEIS E EQUIP SA,12.293.130/0001-49,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/05/2004
60,ACOPALMA CIA INDL ACOS V PALMA,18.451.005/0001-04,CIAS ABERTAS,Cancelado em 07/08/2007
505315,ACORRICO SA IND E COM,14.038.517/0001-84,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
78,ACOS ANHANGUERA SA,61.150.660/0001-43,CIAS ABERTAS,Cancelado em 09/02/1994
86,ACOS DO BRASIL SA IND E COM,60.890.688/0001-54,CIAS ABERTAS,Cancelado em 14/12/1989
14508,AÇOS FINOS PIRATINI S/A,92.767.409/0001-56,CIAS ABERTAS,Cancelado em 05/09/1995
10715,ACOS IPANEMA (VILLARES) SA,60.852.316/0001-33,CIAS ABERTAS,Cancelado em 11/01/1993
108,AÇOS VILLARES SA,60.664.810/0001-74,CIAS ABERTAS,Cancelado em 30/12/2010
518425,ACQUA SA AQUICULTURA,42.581.520/0001-85,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 04/11/2005
515230,ACQUAMANIA MULTIPLO LAZER S/A,39.303.847/0001-80,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 14/02/2012
116,ACRINOR ACRILONITRILA DO NE SA,13.546.353/0001-33,CIAS ABERTAS,Cancelado em 21/02/2000
20230,ACRUX SECURITIZADORA S/A,07.825.881/0001-29,CIAS ABERTAS,Cancelado em 04/02/2016
18040,ACTORI PARTICIPAÇÕES SA,02.808.627/0001-07,CIAS ABERTAS,Cancelado em 24/04/2002
20940,AÇUCAR GUARANI S/A,47.080.619/0001-17,CIAS ABERTAS,Cancelado em 13/08/2010
502944,ACUMULADORES MOURA SA,09.811.654/0001-70,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 11/09/2006
515574,ADCART INDUSTRIAL S. A.,28.392.009/0001-04,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
515604,ADCART PRODUTOS ADESIVOS S A..,39.791.330/0001-88,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
7625,ADEPAR ASSESSORIA ADM SERV SA,43.631.183/0001-56,CIAS ABERTAS,Cancelado em 02/08/1989
132,ADESENE ADESIVOS NO NORDESTE SA,11.029.808/0001-18,CIAS ABERTAS,Cancelado em 09/08/2005
502162,ADESIVA SA IND DE EMBALAGENS,11.059.144/0001-30,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
513148,ADUBOS FERTIBOM SA,10.521.581/0001-60,CIAS INCENTIVADAS REGISTRADAS,Cancelado em 28/09/2008
159,ADUBOS VIANNA SA INDUSTRIA E COMERCIO,17.157.215/0001-13,CIAS ABERTAS,Cancelado em 20/12/2005
21725,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.,10.345.009/0001-98,CIAS ABERTAS,Concedido em 24/06/2009
23396,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,08.827.501/0001-58,CIAS ABERTAS,Concedido em 21/05/2014
