Field,Description
ccvm,Company Bovespa Code
period,Date of the financial data
version,Delivered version
1.89.01,QuantidadeAcaoOrdinariaCapitalIntegralizado
1.89.02,QuantidadeAcaoPreferencialCapitalIntegralizado
1.89.03,QuantidadeTotalAcaoCapitalIntegralizado
1.89.04,QuantidadeAcaoOrdinariaTesouraria
1.89.05,QuantidadeAcaoPreferencialTesouraria
1.89.06,QuantidadeTotalAcaoTesouraria
1,Ativo Total
1.01,Ativo Circulante
1.01.01,Caixa e Equivalentes de Caixa
1.01.02,Aplicações Financeiras
1.01.02.01,Aplicações Financeiras Avaliadas a Valor Justo
1.01.02.01.01,Títulos para Negociação
1.01.02.01.02,Títulos Disponíveis para Venda
1.01.02.02,Aplicações Financeiras Avaliadas ao Custo Amortizado
1.01.02.02.01,Títulos Mantidos até o Vencimento
1.01.03,Contas a Receber
1.01.03.01,Clientes
1.01.03.02,Outras Contas a Receber
1.01.04,Estoques
1.01.05,Ativos Biológicos
1.01.06,Tributos a Recuperar
1.01.06.01,Tributos Correntes a Recuperar
1.01.07,Despesas Antecipadas
1.01.08,Outros Ativos Circulantes
1.01.08.01,Ativos Não-Correntes a Venda
1.01.08.02,Ativos de Operações Descontinuadas
1.01.08.03,Outros
1.02,Ativo Não Circulante
1.02.01,Ativo Realizável a Longo Prazo
1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo
1.02.01.01.01,Títulos para Negociação
1.02.01.01.02,Títulos Disponíveis para Venda
1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado
1.02.01.02.01,Títulos Mantidos até o Vencimento
1.02.01.03,Contas a Receber
1.02.01.03.01,Clientes
1.02.01.03.02,Outras Contas a Receber
1.02.01.04,Estoques
1.02.01.05,Ativos Biológicos
1.02.01.06,Tributos Diferidos
1.02.01.06.01,Imposto de Renda e Contribuição Social Diferidos
1.02.01.07,Despesas Antecipadas
1.02.01.08,Créditos com Partes Relacionadas
1.02.01.08.01,Créditos com Coligadas
